Anions,TCG,E,G(gas)=TCG+E,dG(sol)
a1-2,0.02861,-229.467144,-229.438534,-64.94
a1-3,0.028988,-229.459639,-229.430651,-65.17
a2-2,0.025289,-552.466609,-552.44132,-61.59
a2-3,0.024738,-552.453263,-552.428525,-62.08
a3-2,0.066085,-248.921456,-248.855371,-63.31
a3-3,0.065909,-248.902398,-248.836489,-68.22
a4-2,0.108504,-343.584141,-343.475637,-58.26
a4-3,0.105143,-343.560012,-343.454869,-64.9
a5-2,0.055277,-264.98402,-264.928743,-68.29
a5-4,0.053422,-264.957868,-264.904446,-73.85
a5-5,0.054402,-264.986707,-264.932305,-66.14
a6-2,0.013682,-568.525058,-568.511376,-62.79
a6-4,0.013167,-568.505447,-568.49228,-64.84
a6-5,0.014416,-568.52749,-568.513074,-61.57
a7-2,0.017032,-245.537583,-245.520551,-67.59
a7-4,0.017478,-245.517197,-245.499719,-68.03
a7-5,0.018033,-245.535571,-245.517538,-64.77
a8-3,0.053073,-264.949737,-264.896664,-71.2
a8-4,0.055577,-264.955872,-264.900295,-67.46
a8-5,0.055958,-264.976465,-264.920507,-62.74
a9-3,0.106727,-343.606351,-343.499624,-67.44
a9-4,0.107894,-343.612366,-343.504472,-64.02
a9-5,0.108536,-343.63344,-343.524904,-58.75
a10-3,0.012985,-568.511017,-568.498032,-64.99
a10-4,0.014098,-568.51127,-568.497172,-61.38
a10-5,0.014536,-568.529456,-568.51492,-60.78
a11-3,0.017527,-245.494601,-245.477074,-66.56
a11-4,0.017964,-245.49517,-245.477206,-63.67
a11-5,0.017272,-245.507586,-245.490314,-64.05
a12-3,0.095737,-359.671026,-359.575289,-71.55
a12-5,0.097831,-359.699104,-359.601273,-62.67
a13-2,0.156931,-555.559148,-555.402217,-58.77
a13-3,0.15684,-555.547775,-555.390935,-59.12
a14-3,0.146608,-571.587113,-571.440505,-60.37
a14-4,0.145968,-571.593068,-571.4471,-57.78
a14-5,0.145712,-571.603293,-571.457581,-57.9
a15-2,0.144962,-571.620049,-571.475087,-59.35
a15-4,0.145004,-571.598729,-571.453725,-63.7
a15-5,0.145937,-571.618073,-571.472136,-60.56
b1-1,0.057582,-231.6737708,-231.6161888,-60.87
b2-2,0.045474,-247.7135445,-247.6680705,-64.93
b2-3,0.046436,-247.7266492,-247.6802132,-60.91
b2-4,0.046537,-247.7300857,-247.6835487,-59.71
b3-3,0.032929,-263.7366966,-263.7037676,-66.59
b3-4,0.034441,-263.7527622,-263.7183212,-60.36
b4-2,0.033098,-263.7617607,-263.7286627,-68.04
b4-4,0.034405,-263.7736537,-263.7392487,-62.91
b4-5,0.035351,-263.7835753,-263.7482243,-60.05
b5-2,0.034115,-263.7645297,-263.7304147,-63.11
b6-1,0.022007,-279.8258426,-279.8038356,-64.83
b7-4,0.02025,-279.7685615,-279.7483115,-63.67
b7-5,0.022152,-279.7817509,-279.7595989,-59.12
b8-3,0.020053,-279.7816043,-279.7615513,-67.25
b8-5,0.022005,-279.7944865,-279.7724815,-61.62
b8-6,0.021392,-279.7917991,-279.7704071,-63.38
b9-2,0.048517,-330.968236,-330.919719,-59.05
b9-3,0.048316,-330.9582327,-330.9099167,-57.7
b9-4,0.04835,-330.9549103,-330.9065603,-57.95
b10-2,0.054024,-323.9742448,-323.9202208,-55.33
b10-3,0.053835,-323.9713549,-323.9175199,-53.77
b10-4,0.054071,-323.9720636,-323.9179926,-52.94
b11-2,0.055354,-436.2822821,-436.2269281,-55.05
b11-3,0.05648,-436.2784607,-436.2219807,-53.06
b11-4,0.056765,-436.2808287,-436.2240637,-51.47
b12-2,0.087027,-309.1073111,-309.0202841,-55.83
b12-3,0.084881,-309.1038908,-309.0190098,-57.91
b12-4,0.087275,-309.1060926,-309.0188176,-56.76
b13-2,0.056686,-568.8634174,-568.8067314,-53.29
b13-3,0.056155,-568.85885,-568.802695,-53.12
b13-4,0.056235,-568.8597007,-568.8034657,-52.4
b14-4,0.039014,-430.231021,-430.192007,-55.08
b14-6,0.039201,-430.246225,-430.207024,-56.3
b15-2,0.039475,-430.2617828,-430.2223078,-57.12
b15-4,0.039292,-430.2479559,-430.2086639,-56.01
